"ID","moduleLabels","MM.02","p.MM.02","Interpro.Short.Description","Interpro.ID","GO","GO_term","R1.2","R3.4","R5.6","R7.8","Sp_3d","Sp_7d"
"FGRAMPH1_01T00085","F02",0.931624610848512,5.49256940082399e-08,"FA_desaturase_dom","IPR005804","GO:0016021, GO:0006629","integral component of membrane, lipid metabolic process",22.82727759,54.79899171,84.32223078,8.796900753,26.96944764,19.41237123
"FGRAMPH1_01T00097","F02",0.953289117431282,3.35960996467154e-09,"Beta-lactam-related, Beta-lactam/transpept-like","IPR001466, IPR012338","","",17.49255554,38.16325057,43.93087,10.37852332,35.31394713,21.11476569
"FGRAMPH1_01T00219","F02",0.916293443135739,2.39343819469751e-07,"Zn2-C6_fun-type_DNA-bd, Transcription_factor_dom_fun, Zn2-C6_fun-type_DNA-bd_sf","IPR001138, IPR007219, IPR036864","GO:0005634, GO:0003677, GO:0008270, GO:0000981, GO:0006357","nucleus, DNA binding, zinc ion binding, DNA-binding transcription factor activity, RNA polymerase II-specific, regulation of transcription by RNA polymerase II",6.598035603,7.581976014,8.058052668,12.82773237,6.90254765,4.203126477
"FGRAMPH1_01T00245","F02",0.824393679203663,4.69444954545742e-05,"Zn2-C6_fun-type_DNA-bd, Transcription_factor_dom_fun, Zn2-C6_fun-type_DNA-bd_sf","IPR001138, IPR007219, IPR036864","GO:0005634, GO:0003677, GO:0008270, GO:0000981, GO:0006357","nucleus, DNA binding, zinc ion binding, DNA-binding transcription factor activity, RNA polymerase II-specific, regulation of transcription by RNA polymerase II",1.396632731,2.831415288,6.358812407,5.754655411,1.848862059,2.606865298
"FGRAMPH1_01T00291","F02",0.846099340678879,1.86548977810852e-05,"Oxid_FAD_bind_N, FAD-bd_PCMH, FAD-bd_PCMH_sub2, FAD-bd_PCMH-like_sf","IPR006094, IPR016166, IPR016169, IPR036318","GO:0016491, GO:0071949","oxidoreductase activity, FAD binding",6.676011149,6.425808404,7.037865151,15.86115966,12.88431814,7.210914911
"FGRAMPH1_01T00479","F02",0.895569107022763,1.18225494839596e-06,"Isocitrate_lyase, Pyrv/PenolPyrv_Kinase-like_dom, Isocitrate_lyase_ph_CS, ICL/PEPM, Pyrv_Kinase-like_dom_sf","IPR006254, IPR015813, IPR018523, IPR039556, IPR040442","GO:0005759, GO:0004451, GO:0046421, GO:0046872, GO:0019629","mitochondrial matrix, isocitrate lyase activity, methylisocitrate lyase activity, metal ion binding, propionate catabolic process, 2-methylcitrate cycle",29.28699453,52.31274231,32.70359862,5.94883895,42.21019219,6.784680553
"FGRAMPH1_01T00499","F02",0.943825090922749,1.30371663052793e-08,"PCI_dom, WH_DNA-bd_sf","IPR000717, IPR036390","GO:0005737, GO:0008180","cytoplasm, COP9 signalosome",38.02228343,34.96941808,31.97749541,18.22888284,38.9898353,29.0332443
"FGRAMPH1_01T00511","F02",0.904194660995771,6.35495677107808e-07,"Isy1, Helix_hairpin_bin_sf, Isy1_sf","IPR009360, IPR029012, IPR037200","GO:0005634, GO:0000350","nucleus, generation of catalytic spliceosome for second transesterification step",12.66129891,19.735441,38.82205307,12.29576232,16.40441912,6.469342158
"FGRAMPH1_01T00515","F02",0.860281353132023,9.43347986386815e-06,"Nuo9.5","IPR039961","GO:0016021","integral component of membrane",445.4414683,300.9470295,176.7867772,90.91152486,374.5749899,113.123441
"FGRAMPH1_01T00521","F02",0.448282184294767,0.0711210878705005,"Peptidase_S8/S53_dom, S8pro/Inhibitor_I9, Peptidase_S8_subtilisin-rel, Peptidase_S8_His-AS, Peptidase_S8_Ser-AS, PCSK9_ProteinaseK-like, Peptidase_S8/S53_dom_sf, S8pro/Inhibitor_I9_sf","IPR000209, IPR010259, IPR015500, IPR022398, IPR023828, IPR034193, IPR036852, IPR037045","GO:0004252, GO:0006508","serine-type endopeptidase activity, proteolysis",455.6734005,227.7629581,519.1851331,390.8110607,508.5361264,301.0588862
"FGRAMPH1_01T00583","F02",0.843242990852063,2.12273818584826e-05,"Zn2-C6_fun-type_DNA-bd, Transcription_factor_dom_fun, Zn2-C6_fun-type_DNA-bd_sf","IPR001138, IPR007219, IPR036864","GO:0005634, GO:0003677, GO:0008270, GO:0000981, GO:0006357","nucleus, DNA binding, zinc ion binding, DNA-binding transcription factor activity, RNA polymerase II-specific, regulation of transcription by RNA polymerase II",2.320998203,2.607521644,3.558286464,5.66224124,2.958033365,2.128246827
"FGRAMPH1_01T00611","F02",0.636545550169181,0.00600570779114153,"","","","",0.64483839,0.844626953,5.618357959,7.463274495,2.152494996,0.53342196
"FGRAMPH1_01T00693","F02",0.950213926871588,5.37101018704644e-09,"SLC35_F1/F2/F6","IPR009262","GO:0016021, GO:0022857, GO:0055085","integral component of membrane, transmembrane transporter activity, transmembrane transport",17.88981519,15.95981537,36.47255879,21.6348322,17.22958053,7.622861717
