"ID","moduleLabels","MM.01","p.MM.01","Interpro.Short.Description","Interpro.ID","GO","GO_term","R1.2","R3.4","R5.6","R7.8","Sp_3d","Sp_7d"
"FGRAMPH1_01T00001","F01",0.924586311885805,1.12169450030313e-07,"Ankyrin_rpt, MgTranspt_CorA/ZnTranspt_ZntB, Ankyrin_rpt-contain_sf","IPR002110, IPR002523, IPR036770","","",0.538800277,1.106437279,0.890233461,0,0.466386978,0.248070604
"FGRAMPH1_01T00027","F01",0.758139954440475,0.000420911233064387,"","","","",12.54897299,13.12053218,15.0668841,0,9.17044466,5.733089515
"FGRAMPH1_01T00055","F01",0.629890942607773,0.00672918277364468,"","","","",0.113861042,0.874238521,8.654224067,0,0.491037584,0
"FGRAMPH1_01T00071","F01",0.880116782409891,3.1770395941359e-06,"","","GO:0016021, GO:0008233, GO:0006508","integral component of membrane, peptidase activity, proteolysis",14.61344223,24.03145825,60.04906416,0,9.124929631,1.792211683
"FGRAMPH1_01T00095","F01",0.544590803794492,0.0237985078022916,"Germin, Cupin_1, RmlC_Cupin_sf, RmlC-like_jellyroll","IPR001929, IPR006045, IPR011051, IPR014710","GO:0005576, GO:0030145","extracellular region, manganese ion binding",3.217650075,12.01455968,19.64967918,0,1.945142775,0.381569261
"FGRAMPH1_01T00117","F01",0.830979385681935,3.59662361010366e-05,"AB_hydrolase_1, Epox_hydrolase-like, AB_hydrolase","IPR000073, IPR000639, IPR029058","GO:0016787","hydrolase activity",14.65414166,17.49586271,10.03232752,0,12.59814396,1.713674459
"FGRAMPH1_01T00127","F01",0.67114828928753,0.00318173216489675,"Ketoacyl_synth_N, Ketoacyl_synth_C, Acyl_Trfase/lysoPLipase, Thiolase-like, Ketoacyl_synth_AS, PKS_Beta-ketoAc_synthase_dom, FAS_alpha_yeast, NAD(P)-bd_dom_sf, Fas_alpha_ACP, FASI_helical, FAS_alpha_su_C","IPR014030, IPR014031, IPR016035, IPR016039, IPR018201, IPR020841, IPR026025, IPR036291, IPR040899, IPR041550, IPR047224","GO:0005835, GO:0004315, GO:0004316, GO:0004321, GO:0008897, GO:0046872, GO:0102131, GO:0102132, GO:0018215, GO:0042759","fatty acid synthase complex, 3-oxoacyl-[acyl-carrier-protein] synthase activity, 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity, fatty-acyl-CoA synthase activity, holo-[acyl-carrier-protein] synthase activity, metal ion binding, GO:0102131, GO:0102132, protein phosphopantetheinylation, long-chain fatty acid biosynthetic process",0.263953302,2.886924307,4.949101474,0,0.119464809,0.04324037
"FGRAMPH1_01T00129","F01",0.661396776793232,0.00383566718016734,"Cyt_P450, Cyt_P450_E_grp-I, Cyt_P450_CS, Cyt_P450_sf","IPR001128, IPR002401, IPR017972, IPR036396","GO:0016021, GO:0004497, GO:0005506, GO:0016705, GO:0020037","integral component of membrane, monooxygenase activity, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding",0.732315397,7.55174004,18.93278267,0,0.351636644,0.029058372
"FGRAMPH1_01T00135","F01",0.861199543915709,9.0034197599355e-06,"","","","",3.680827983,16.37621138,26.25630206,0,3.943331794,2.224127144
"FGRAMPH1_01T00143","F01",0.693648757412725,0.00201323380407239,"AMP-dep_Synth/Lig, Condensatn, Ppantetheine_attach_site, PP-bd_ACP, AA_adenyl_domain, PKS_PP-bd, AMP-binding_CS, CAT-like_dom_sf, ACP-like_sf, ANL_N_sf","IPR000873, IPR001242, IPR006162, IPR009081, IPR010071, IPR020806, IPR020845, IPR023213, IPR036736, IPR042099","GO:0016874, GO:0031177","ligase activity, phosphopantetheine binding",0.038452575,0.385449851,0.45773599,0,0.046954993,0.010542856
"FGRAMPH1_01T00145","F01",0.699921724937572,0.00175951861978701,"FAD/NAD-binding_dom, FAD/NAD-bd_sf","IPR023753, IPR036188","GO:0016491","oxidoreductase activity",3.324869894,29.5964418,36.1610432,0,0.770773731,0.792057899
"FGRAMPH1_01T00147","F01",0.431775409062167,0.0835100550451901,"AB_hydrolase_1, AB_hydrolase","IPR000073, IPR029058","GO:0016787","hydrolase activity",1.081444082,12.20932419,13.40721997,0,0.182809267,0
"FGRAMPH1_01T00149","F01",0.871345570827479,5.25434820982522e-06,"AB_hydrolase_1, AB_hydrolase","IPR000073, IPR029058","GO:0016787","hydrolase activity",25.89599355,57.64809203,52.61138772,0,19.59862598,1.860505521
"FGRAMPH1_01T00151","F01",0.687971407431918,0.0022679816712955,"ABC_transporter-like_ATP-bd, AAA+_ATPase, ABC1_TM_dom, ABC_transporter-like_CS, P-loop_NTPase, ABC1_TM_sf, ABCC_6TM_D2","IPR003439, IPR003593, IPR011527, IPR017871, IPR027417, IPR036640, IPR044726","GO:0005886, GO:0016021, GO:0005524, GO:0140359, GO:0055085","plasma membrane, integral component of membrane, ATP binding, ABC-type transporter activity, transmembrane transport",0.368828497,4.309129346,7.324651939,0,0.424900661,0.013189272
