"ID","moduleLabels","MM.09","p.MM.09","Interpro.Short.Description","Interpro.ID","GO","GO_term","R1.2","R3.4","R5.6","R7.8","Sp_3d","Sp_7d"
"FGRAMPH1_01T00455","F09",0.859889031620572,9.62248624376173e-06,"6-hairpin_glycosidase_sf, Glyco_hydro_88, 6hp_glycosidase-like_sf","IPR008928, IPR010905, IPR012341","GO:0016787, GO:0005975","hydrolase activity, carbohydrate metabolic process",29.28881032,60.88983176,36.13725975,42.11579477,44.11125886,4.546524992
"FGRAMPH1_01T00461","F09",0.874592014963641,4.38060541302712e-06,"Ribosomal_S14, Ribosomal_S14_CS","IPR001209, IPR018271","GO:0005840, GO:0003735, GO:0006412","ribosome, structural constituent of ribosome, translation",119.1000104,86.08187957,83.21853631,43.9622895,98.4798077,58.95459452
"FGRAMPH1_01T00473","F09",0.966151109905076,3.11545455724222e-10,"GH16, ConA-like_dom_sf","IPR000757, IPR013320","GO:0016021, GO:0004553, GO:0005975","integral component of membrane, hydrolase activity, hydrolyzing O-glycosyl compounds, carbohydrate metabolic process",32.33496268,44.78252763,127.0258043,89.59614894,43.77823801,19.1195029
"FGRAMPH1_01T00495","F09",0.932031045717264,5.25868249767631e-08,"OTU_dom, Peptidase_C65_otubain, Papain-like_cys_pep_sf, Peptidase_C65_otubain_sub2, Peptidase_C65_otubain_sub1","IPR003323, IPR019400, IPR038765, IPR042467, IPR042468","GO:0004843, GO:0006508","cysteine-type deubiquitinase activity, proteolysis",2.673322878,8.148805787,11.55869689,17.01356475,6.884161057,2.464935437
"FGRAMPH1_01T00501","F09",0.886622256265801,2.13204444549244e-06,"MFS, MFS_trans_sf","IPR011701, IPR036259","GO:0016021, GO:0022857, GO:0055085","integral component of membrane, transmembrane transporter activity, transmembrane transport",14.45348963,17.32840097,20.5839416,51.70331799,18.170831,28.29579131
"FGRAMPH1_01T00541","F09",0.925093892742418,1.06789722341538e-07,"","","GO:0016021","integral component of membrane",139.1908134,169.3576344,198.5654798,91.74738678,70.32982941,21.66761095
"FGRAMPH1_01T00743","F09",0.948246271340399,7.14179151125084e-09,"PQ-loop_rpt, MannP-dilichol_defect-1","IPR006603, IPR016817","GO:0016021","integral component of membrane",29.44377967,42.95879971,67.14452575,39.40432637,29.75198361,8.637905604
"FGRAMPH1_01T00755","F09",0.850451929374781,1.5244725222263e-05,"Cell_cycle_checkpoint_Rad1, Rad1_Rec1_Rad17","IPR003011, IPR003021","GO:0005634, GO:0016021, GO:0034998, GO:0004527, GO:0000077, GO:0006281, GO:0006487, GO:0090305","nucleus, integral component of membrane, oligosaccharyltransferase I complex, exonuclease activity, DNA damage checkpoint signaling, DNA repair, protein N-linked glycosylation, nucleic acid phosphodiester bond hydrolysis",76.28871361,70.48777354,66.65236568,31.50238927,59.34941448,58.76448656
"FGRAMPH1_01T00797","F09",0.839875263912418,2.46406342823893e-05,"UPP_synth-like, UPP_synth-like_CS, UPP_synth-like_sf","IPR001441, IPR018520, IPR036424","GO:0045547, GO:0019408","dehydrodolichyl diphosphate synthase activity, dolichol biosynthetic process",55.03294342,27.98669618,27.50560459,26.86862847,44.2675058,41.45040825
"FGRAMPH1_01T00811","F09",0.963930916301786,4.98478712472072e-10,"Small_GTPase, Small_GTPase_Rho, Small_GTP-bd_dom, P-loop_NTPase","IPR001806, IPR003578, IPR005225, IPR027417","GO:0008360, GO:0005525, GO:0032955, GO:0032956, GO:0007264, GO:0000935, GO:0003924, GO:0005938, GO:0034613","regulation of cell shape, GTP binding, regulation of division septum assembly, regulation of actin cytoskeleton organization, small GTPase mediated signal transduction, division septum, GTPase activity, cell cortex, GO:0034613",14.30634494,25.17417431,54.1997993,48.63526764,22.77617849,17.31530973
"FGRAMPH1_01T00875","F09",0.957514616223502,1.67035749465996e-09,"TMEM115/Pdh1/Rbl19, Rhomboid-like_sf","IPR013861, IPR035952","GO:0016021, GO:0006890","integral component of membrane, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",13.86730892,23.35704823,28.76108235,26.19653938,15.88183099,3.860574591
"FGRAMPH1_01T01035","F09",0.973678612950128,4.82775031294452e-11,"","","GO:0016021","integral component of membrane",7.622577244,16.40783841,23.82104023,16.38650012,16.00363829,6.09285544
"FGRAMPH1_01T01041","F09",0.942599961693302,1.5271966486437e-08,"Sds3","IPR013907","GO:0005634","nucleus",3.212208749,7.039979435,12.91502959,17.01356475,5.273901353,2.177127058
