"ID","moduleLabels","MM.10","p.MM.10","Interpro.Short.Description","Interpro.ID","GO","GO_term","R1.2","R3.4","R5.6","R7.8","Sp_3d","Sp_7d"
"FGRAMPH1_01T00047","F10",0.943393207299851,1.37904684081052e-08,"","","","",59.81742798,1.131990974,22.9571609,311.0758664,184.1216243,897.075863
"FGRAMPH1_01T00195","F10",0.902735912915637,7.08668282793351e-07,"CLS_N","IPR027379","GO:0005886, GO:0016021","plasma membrane, integral component of membrane",263.135941,71.28333997,51.63262271,290.8581423,194.5423805,248.6414771
"FGRAMPH1_01T00197","F10",0.923006275229074,1.30431564871623e-07,"Killer_tox_Kp4/SMK, Killer_tox_Kp4","IPR011329, IPR015131","GO:0005576","extracellular region",200.5697363,8.671906008,92.81155343,1298.202806,804.0422673,4768.70102
"FGRAMPH1_01T00199","F10",0.958542806431619,1.39416701339691e-09,"Killer_tox_Kp4/SMK, Killer_tox_Kp4","IPR011329, IPR015131","GO:0005576","extracellular region",204.039889,5.005156928,53.72090333,1858.380464,876.8470838,5107.438675
"FGRAMPH1_01T00201","F10",0.954997570534042,2.55323682535592e-09,"Killer_tox_Kp4/SMK, Killer_tox_Kp4","IPR011329, IPR015131","GO:0005576","extracellular region",564.7764719,18.58715554,124.5601759,4624.347661,1902.550889,13834.37478
"FGRAMPH1_01T00281","F10",0.681782443735729,0.00257511939559734,"B-gal_small/dom_5, Glyco_hydro_2, Glyco_hydro_2_Ig-like, Glyco_hydro_2_cat, Glyco_hydro_2_N, Galactose-bd-like_sf, Gal_mutarotase_sf_dom, Ig-like_fold, GH-type_carb-bd, Glycoside_hydrolase_SF, LacZ_4, Beta-gal/glucu_dom_sf","IPR004199, IPR006101, IPR006102, IPR006103, IPR006104, IPR008979, IPR011013, IPR013783, IPR014718, IPR017853, IPR032312, IPR036156","GO:0009341, GO:0004565, GO:0030246, GO:0005975, GO:0071555","beta-galactosidase complex, beta-galactosidase activity, carbohydrate binding, carbohydrate metabolic process, cell wall organization",118.5455442,77.78525682,15.03724563,166.3295706,186.6193587,117.7216496
"FGRAMPH1_01T00321","F10",0.953704435332778,3.14576226353178e-09,"","","","",384.549189,6.819604048,43.4944693,1052.680588,428.5809471,2278.032862
"FGRAMPH1_01T00507","F10",0.327420747688352,0.199535100826068,"AB_hydrolase_1, HAT_MetX-like, AB_hydrolase","IPR000073, IPR008220, IPR029058","GO:0016747, GO:0009058","acyltransferase activity, transferring groups other than amino-acyl groups, biosynthetic process",40.53294893,37.26045133,23.66541913,105.8521265,36.82448039,17.45229986
"FGRAMPH1_01T00591","F10",0.774424038190531,0.000262744992210328,"","","","",66.59199073,3.123851308,4.041368182,97.53774451,293.8890099,152.5020722
"FGRAMPH1_01T00619","F10",0.835324472601192,2.99824391774758e-05,"ADH_Zn_CS, GroES-like_sf, ADH-like_C, ADH_N, PKS_ER, NAD(P)-bd_dom_sf, CAD-like","IPR002328, IPR011032, IPR013149, IPR013154, IPR020843, IPR036291, IPR047109","GO:0008270, GO:0016491","zinc ion binding, oxidoreductase activity",13.95429971,0.061842464,5.342388834,96.24994069,18.60666829,83.69183573
"FGRAMPH1_01T00781","F10",0.603159552391108,0.0103717229019386,"Vps28, VPS28_N, VPS28_C, ESCRT_assembly_dom, VPS28_C_sf, VPS28_N_sf","IPR007143, IPR017898, IPR017899, IPR037202, IPR037206, IPR038358","GO:0000813, GO:0044877, GO:0006612, GO:0006623, GO:0043328, GO:1904669","ESCRT I complex, protein-containing complex binding, protein targeting to membrane, protein targeting to vacuole, protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway, ATP export",15.17591871,10.77062748,10.81987878,90.17515504,17.31011722,12.55401135
"FGRAMPH1_01T00919","F10",0.299739063944761,0.242467710950926,"Sacchrp_dh_NADP, Sacchrp_dh-like_C, NAD(P)-bd_dom_sf","IPR005097, IPR032095, IPR036291","GO:0016491","oxidoreductase activity",116.5485791,114.0990743,73.54469726,211.4693903,113.677764,57.59005649
"FGRAMPH1_01T00949","F10",0.71673324752461,0.00120586835610379,"Cullin_N, Cullin_homology, Cullin_repeat-like_dom_sf, Cullin_neddylation_domain, Cullin_homology_sf, WH-like_DNA-bd_sf, WH_DNA-bd_sf, Cullin","IPR001373, IPR016158, IPR016159, IPR019559, IPR036317, IPR036388, IPR036390, IPR045093","GO:0031625, GO:0006397, GO:0006511","ubiquitin protein ligase binding, mRNA processing, ubiquitin-dependent protein catabolic process",14.22703417,12.57264176,13.89919053,59.93775411,17.40641177,17.44574183
"FGRAMPH1_01T01105","F10",0.812230294198418,7.47103735017099e-05,"Stationary_phase_5","IPR038816","GO:0070628","proteasome binding",289.6772009,117.0712146,137.4491707,430.3129376,324.1351009,280.5823263
"FGRAMPH1_01T01601","F10",0.694207583363312,0.00198948181797782,"HECT_dom, E3_Ub_ligase_DUF908, E3_Ub_ligase_DUF913, ARM-type_fold, HUWE1/Rev1_UBM, Hect_E3_ubiquitin_ligase","IPR000569, IPR010309, IPR010314, IPR016024, IPR025527, IPR035983","GO:0004842, GO:0016567","ubiquitin-protein transferase activity, protein ubiquitination",14.28429403,12.16010288,13.73394529,39.32881782,14.13464477,19.69910147
"FGRAMPH1_01T01795","F10",0.767273728472472,0.000324617515162497,"","","","",656.1525971,527.2764276,166.1992187,827.5875424,578.8209769,821.1203839
"FGRAMPH1_01T01797","F10",0.954841678197982,2.61913018901381e-09,"PAS, Znf_GATA, Znf_NHR/GATA, PAS_fold_3, PAS-like_dom_sf","IPR000014, IPR000679, IPR013088, IPR013655, IPR035965","GO:0008270, GO:0043565, GO:0006355","zinc ion binding, sequence-specific DNA binding, regulation of DNA-templated transcription",37.40060036,17.56218608,17.62610914,54.29224056,41.16481403,41.16520448
"FGRAMPH1_01T02073","F10",0.93212876362129,5.20374358465957e-08,"AsaB-like","IPR044053","GO:0016491","oxidoreductase activity",101.8516283,5.788579525,6.885271134,279.9087413,72.10718517,82.87813892
"FGRAMPH1_01T02141","F10",0.467496860801488,0.0584627334728119,"","","GO:0016021, GO:0009013, GO:0009450","integral component of membrane, succinate-semialdehyde dehydrogenase [NAD(P)+] activity, gamma-aminobutyric acid catabolic process",121.7623791,117.1768406,84.80077162,257.644733,137.7946759,94.96525302
"FGRAMPH1_01T02669","F10",0.915857439473561,2.48531787299308e-07,"CARKD, Carbohydrate_kinase_pred_CS, Ribokinase-like","IPR000631, IPR017953, IPR029056","GO:0005737, GO:0005524, GO:0047453, GO:0052855, GO:0046496","cytoplasm, ATP binding, ATP-dependent NAD(P)H-hydrate dehydratase activity, ADP-dependent NAD(P)H-hydrate dehydratase activity, nicotinamide nucleotide metabolic process",81.79445795,24.99683517,10.63632927,172.5657485,60.76248865,84.71156723
"FGRAMPH1_01T02703","F10",0.857251880387403,1.09784502676629e-05,"DnaJ_domain, J_dom_sf","IPR001623, IPR036869","","",121.8919233,81.37558712,26.11112143,258.9322477,115.4990487,128.2625883
"FGRAMPH1_01T02853","F10",0.899354756085739,9.06487723817232e-07,"Gal_Oxase/kelch_b-propeller, Kelch-typ_b-propeller","IPR011043, IPR015915","GO:0016021","integral component of membrane",24.62071987,0.966599797,1.766798691,146.8726686,19.10964766,27.40532145
"FGRAMPH1_01T02875","F10",0.930602510357909,6.12062347777302e-08,"RRM_dom, YTH_domain, Nucleotide-bd_a/b_plait_sf, RBD_domain_sf, YTH_prot","IPR000504, IPR007275, IPR012677, IPR035979, IPR045168","GO:0003723","RNA binding",34.7932647,1.42547076,1.632049749,126.0135087,25.26520983,33.12509857
"FGRAMPH1_01T03041","F10",0.661887013298501,0.00380038135279148,"Calycin","IPR012674","","",316.3247939,207.4770316,106.7276039,566.5015172,426.7975589,175.0127279
"FGRAMPH1_01T03139","F10",0.917636981035125,2.12838193860307e-07,"SDO1/SBDS_N, Ribosome_mat_SBDS_N_sf","IPR019783, IPR036786","","",1097.066256,356.0167818,120.787922,1653.035695,1686.032368,3661.721596
"FGRAMPH1_01T03287","F10",0.95827507895336,1.46198469545803e-09,"","","","",467.1411757,65.99960751,67.27289598,913.7591966,466.7211714,1385.198891
"FGRAMPH1_01T03399","F10",0.738810547083666,0.000704459079379041,"","","GO:0016874","ligase activity",7325.921358,2473.724226,531.3629706,5396.487927,4714.838747,2968.371322
"FGRAMPH1_01T03615","F10",0.521226656070254,0.0319057397983531,"Ankyrin_rpt, SPX_dom, PLC-like_Pdiesterase_TIM-brl, GP_PDE_dom, Ankyrin_rpt-contain_sf","IPR002110, IPR004331, IPR017946, IPR030395, IPR036770","GO:0005737, GO:0047389, GO:0046475","cytoplasm, glycerophosphocholine phosphodiesterase activity, glycerophospholipid catabolic process",13.0497271,7.367888422,24.02401326,49.0600082,19.8813051,14.77214182
"FGRAMPH1_01T03719","F10",0.645939711642291,0.00509227867069964,"AB_hydrolase","IPR029058","GO:0016021, GO:0016787","integral component of membrane, hydrolase activity",7.007635779,4.572264477,1.026155235,68.23814462,6.446925138,5.772463046
"FGRAMPH1_01T03827","F10",0.882084503690921,2.82286878955681e-06,"Cutinase/axe, Cutinase_monf, AB_hydrolase, CUTINASE_2, CUTINASE_1","IPR000675, IPR011150, IPR029058, IPR043579, IPR043580","GO:0005576, GO:0050525","extracellular region, cutinase activity",63.12079037,32.52925274,18.72674056,303.1330771,329.4063048,259.1745923
