"ID","moduleLabels","MM.12","p.MM.12","Interpro.Short.Description","Interpro.ID","GO","GO_term","R1.2","R3.4","R5.6","R7.8","Sp_3d","Sp_7d"
"FGRAMPH1_01T00053","F12",0.848827002774249,1.64499947869902e-05,"Cyt_P450, Cyt_P450_E_grp-I, Cyt_P450_CS, Cyt_P450_sf","IPR001128, IPR002401, IPR017972, IPR036396","GO:0016021, GO:0004497, GO:0005506, GO:0016705, GO:0020037","integral component of membrane, monooxygenase activity, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding",36.33504798,271.8867237,898.5704795,28.63157615,93.42905239,3.256018737
"FGRAMPH1_01T00105","F12",0.928389029741084,7.69531376326996e-08,"Peptidase_M43, MetalloPept_cat_dom_sf","IPR008754, IPR024079","GO:0008237, GO:0006508","metallopeptidase activity, proteolysis",467.9261712,1140.062049,905.1809251,220.7607253,251.1702044,6.415971098
"FGRAMPH1_01T00539","F12",0.935095319199307,3.75439204285194e-08,"GMC_OxRdtase_N, GMC_OxRtase_C, GMC_OxRdtase, FAD/NAD-bd_sf","IPR000172, IPR007867, IPR012132, IPR036188","GO:0016614, GO:0050660","oxidoreductase activity, acting on CH-OH group of donors, flavin adenine dinucleotide binding",133.686577,281.4082422,295.7337823,146.4686029,104.8548722,20.85455797
"FGRAMPH1_01T00633","F12",0.89412077008928,1.30524060265082e-06,"CAT-like_dom_sf","IPR023213","GO:0016491, GO:0016747","oxidoreductase activity, acyltransferase activity, transferring groups other than amino-acyl groups",382.2312552,507.3267485,495.4495231,100.9686743,226.6145543,29.00635558
"FGRAMPH1_01T00803","F12",0.595919047649137,0.0115885461915071,"ATPase_OSCP/dsu, ATPase_OSCP/d_CS, ATP_synth_OSCP/delta_N_sf","IPR000711, IPR020781, IPR026015","GO:0016020, GO:0046933, GO:0015986","membrane, proton-transporting ATP synthase activity, rotational mechanism, proton motive force-driven ATP synthesis",286.4207742,241.4792086,208.2690974,286.9972866,253.84423,75.63250341
"FGRAMPH1_01T00833","F12",0.841704491644955,2.27333038411965e-05,"Glycoside_hydrolase_SF, Unchr_glyco_hydro_catalytic","IPR017853, IPR024655","","",203.1035628,334.2343923,427.103365,187.3464294,339.5826487,52.02122573
"FGRAMPH1_01T00841","F12",0.841448088975456,2.29928657720236e-05,"Ubiquitin-like_dom, CAP-Gly_domain, Ubiquitin-like_domsf, CAP-Gly_dom_sf","IPR000626, IPR000938, IPR029071, IPR036859","GO:0005874","microtubule",52.4615221,65.81955121,67.19679695,73.63801948,54.47172909,17.18708714
"FGRAMPH1_01T01083","F12",0.936900180843044,3.05483698170496e-08,"Kre9/Knh1-like_N","IPR018466","","",805.3814634,1292.090452,2165.204069,1143.886986,910.3636974,184.6096875
"FGRAMPH1_01T01333","F12",0.890696089666179,1.64028109364222e-06,"Kre9/Knh1-like_N","IPR018466","","",1195.815827,1086.24793,2319.061318,815.0218121,1140.420244,181.3509672
"FGRAMPH1_01T02145","F12",0.969626810476171,1.39637499150123e-10,"PH_domain, PH-like_dom_sf, Meu6_PH_dom, Meu6","IPR001849, IPR011993, IPR039483, IPR039712","","",79.18846395,220.0251972,398.9407153,126.1486963,140.8215249,7.014450078
